,tconst,averageRating,numVotes
122304,tt0180825,9.6,12761
124458,tt0184666,9.6,10577
136312,tt0208155,9.5,11273
147485,tt0232503,9.5,1599
205151,tt0356070,9.5,9247
209305,tt0365498,9.5,11262
251496,tt0462422,9.5,2729
272889,tt0512875,9.5,3653
274208,tt0516783,9.5,7119
274714,tt0517686,9.6,1236
283174,tt0533398,9.5,5143
283219,tt0533443,9.7,8200
283242,tt0533466,9.7,11052
283272,tt0533496,9.7,7551
283275,tt0533499,9.5,4929
298574,tt0567922,9.6,1610
298714,tt0568062,9.6,1751
305766,tt0582556,9.5,2105
306117,tt0583018,9.7,3283
306292,tt0583433,9.6,16500
306310,tt0583452,9.7,13068
307026,tt0584444,9.5,6863
317007,tt0606046,9.6,8714
317647,tt0609249,9.5,1036
322489,tt0618980,9.5,4319
344045,tt0666576,9.6,1448
344056,tt0666587,9.6,1122
357192,tt0696628,9.7,5991
357883,tt0697679,9.5,9108
357947,tt0697744,9.5,6966
357985,tt0697782,9.5,7236
360002,tt0701975,9.6,3406
360014,tt0701987,9.5,2790
360016,tt0701989,9.9,12122
361319,tt0705260,9.7,10463
361331,tt0705272,9.7,15427
361563,tt0705958,9.6,10484
362224,tt0707287,9.7,4833
362235,tt0707298,9.5,1939
362238,tt0707301,9.5,2235
374710,tt0742671,9.6,1076
376484,tt0745721,9.7,3612
379210,tt0749434,9.6,6939
382020,tt0757574,9.7,1791
386465,tt0769383,9.5,7825
395389,tt0796524,9.6,3797
395405,tt0796550,9.5,5957
399764,tt0809488,9.5,6320
404661,tt0822878,9.6,6750
408130,tt0832780,9.5,1678
414533,tt0850173,9.5,8915
423536,tt0877058,9.6,11812
426076,tt0885707,9.5,1951
430883,tt0903747,9.5,2115953
446116,tt0958934,9.5,1498
450908,tt0977179,9.6,6702
454455,tt0990611,9.5,8696
455282,tt0994365,9.7,14809
455671,tt0995838,9.6,9331
456736,tt1000252,9.8,23765
457168,tt10008916,9.7,4242
457897,tt10023374,9.7,62455
